participante,pronome,referencia,cod,tempo.adverbio
3f,s,inf,i_18,900
3f,s,inf,i_3,629
3f,p,inf,i_24,497
3f,s,cor,i_4,776
3f,p,inf,i_8,764
3f,p,cor,i_29,674
3f,p,inf,i_40,788
3f,p,cor,i_39,603
3f,p,inf,i_15,758
3f,s,inf,i_21,1112
3f,p,inf,i_9,625
3f,p,cor,i_27,425
3f,s,inf,i_20,782
3f,p,inf,i_14,517
3f,s,inf,i_17,721
3f,s,cor,i_31,702
3f,s,cor,i_19,436
3f,p,cor,i_36,488
3f,s,cor,i_12,517
4f,s,cor,i_37,680
4f,p,cor,i_33,520
4f,s,inf,i_17,593
4f,p,cor,i_29,467
4f,p,cor,i_27,1016
4f,p,cor,i_36,449
4f,s,inf,i_3,1044
4f,p,inf,i_42,540
4f,p,inf,i_8,425
4f,p,inf,i_40,461
4f,p,inf,i_24,575
4f,p,inf,i_14,442
4f,s,cor,i_12,470
4f,p,cor,i_28,415
4f,s,cor,i_5,432
4f,s,inf,i_18,474
4f,p,inf,i_15,425
4f,s,inf,i_20,449
4f,p,cor,i_34,466
4f,s,inf,i_41,382
4f,s,cor,i_2,404
4f,s,cor,i_4,419
4f,p,inf,i_9,499
4f,s,cor,i_19,476
4f,s,inf,i_21,388
4f,s,inf,i_23,560
4f,p,cor,i_39,406
4f,s,cor,i_31,1286
5f,p,inf,i_42,1214
5f,s,cor,i_19,566
5f,s,cor,i_37,862
5f,p,inf,i_15,564
5f,s,cor,i_5,895
5f,s,inf,i_17,604
5f,s,inf,i_41,532
5f,p,cor,i_29,1067
5f,s,cor,i_12,487
5f,s,cor,i_2,568
5f,p,cor,i_34,567
5f,p,cor,i_33,474
5f,p,inf,i_14,436
5f,p,cor,i_39,1114
5f,s,inf,i_23,482
5f,s,inf,i_20,429
5f,p,inf,i_24,534
5f,s,inf,i_18,409
5f,p,cor,i_36,641
5f,s,inf,i_21,485
5f,s,cor,i_31,629
5f,s,inf,i_3,556
5f,s,cor,i_4,814
5f,p,cor,i_27,845
5f,p,cor,i_28,707
5f,p,inf,i_8,556
5f,p,inf,i_9,422
5f,p,inf,i_40,522
6f,s,inf,i_41,527
6f,s,cor,i_12,484
6f,s,inf,i_18,852
6f,s,cor,i_19,643
6f,s,inf,i_21,648
6f,p,inf,i_14,466
6f,p,inf,i_15,1582
6f,s,inf,i_17,600
6f,s,cor,i_31,392
6f,p,inf,i_24,555
6f,p,cor,i_27,691
6f,p,cor,i_29,372
6f,p,cor,i_33,770
6f,p,inf,i_8,358
6f,s,cor,i_2,1549
6f,s,inf,i_3,474
6f,s,cor,i_5,403
6f,p,cor,i_39,351
6f,p,cor,i_28,365
6f,s,inf,i_20,349
6f,s,cor,i_4,408
6f,p,inf,i_40,474
6f,s,cor,i_37,267
6f,p,cor,i_34,911
6f,p,cor,i_36,333
6f,s,inf,i_23,354
6f,p,inf,i_42,758
6f,p,inf,i_9,575
7f,s,cor,i_19,702
7f,s,inf,i_18,2082
7f,p,cor,i_27,797
7f,p,inf,i_15,624
7f,s,inf,i_20,684
7f,p,cor,i_39,757
7f,p,cor,i_29,884
7f,s,cor,i_31,652
7f,s,inf,i_17,999
7f,s,cor,i_4,700
7f,p,inf,i_8,722
7f,p,inf,i_40,614
7f,s,cor,i_2,633
7f,p,inf,i_24,525
7f,p,inf,i_42,535
7f,p,cor,i_36,512
7f,p,cor,i_34,430
7f,p,inf,i_9,543
7f,s,cor,i_12,418
7f,p,inf,i_14,443
7f,s,cor,i_5,851
7f,s,cor,i_37,523
7f,s,inf,i_3,635
7f,s,inf,i_41,583
7f,s,inf,i_21,447
7f,s,inf,i_23,540
7f,p,cor,i_33,621
7f,p,cor,i_28,480
8f,p,cor,i_36,907
8f,s,cor,i_12,1001
8f,s,inf,i_17,1069
8f,p,cor,i_27,541
8f,s,inf,i_3,559
8f,s,inf,i_20,527
8f,s,cor,i_37,551
8f,p,inf,i_24,633
8f,s,inf,i_21,501
8f,s,inf,i_41,454
8f,s,cor,i_2,671
8f,p,inf,i_15,518
8f,p,inf,i_42,490
8f,p,inf,i_9,486
8f,s,inf,i_23,481
8f,p,cor,i_28,564
8f,s,cor,i_31,491
8f,s,cor,i_19,459
8f,s,cor,i_5,494
8f,p,cor,i_34,465
8f,s,cor,i_4,433
8f,p,cor,i_29,544
8f,s,inf,i_18,491
8f,p,inf,i_14,486
8f,p,cor,i_33,437
8f,p,cor,i_39,484
8f,p,inf,i_8,513
8f,p,inf,i_40,513
